accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
111113489,111113489,15000.0,15000.0,2016-01-01T14:00:55,375.39,Regal Cinemas #276341,US,US,05,01,entertainment,True,08/2028,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,0.0,,,,,,False,False
111113489,111113489,15000.0,14624.61,2016-01-01T18:51:47,293.81,AMC #606218,US,US,80,01,entertainment,True,03/2025,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,375.39,,,,,,False,False
111113489,111113489,15000.0,14330.8,2016-01-03T02:09:01,55.31,EZ Putt Putt #551896,US,US,05,01,entertainment,True,03/2021,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,669.2,,,,,,False,False
111113489,111113489,15000.0,14275.49,2016-01-03T07:30:36,163.39,AMC #706324,US,US,05,01,entertainment,True,04/2032,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,724.51,,,,,,False,False
111113489,111113489,15000.0,14112.1,2016-01-03T15:04:44,71.88,EZ Putt Putt #755869,US,US,05,01,entertainment,True,10/2020,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,887.9,,,,,,False,False
111113489,111113489,15000.0,14040.22,2016-01-06T04:44:38,191.7,AMC #74121,US,US,02,08,entertainment,True,04/2027,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,959.78,,,,,,False,False
111113489,111113489,15000.0,13848.52,2016-01-06T15:17:24,101.54,AMC #706324,US,US,80,01,entertainment,True,03/2026,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,1151.48,,,,,,False,False
111113489,111113489,15000.0,13746.98,2016-01-07T04:38:23,314.18,AMC #724446,US,US,09,01,entertainment,True,04/2028,2015-03-19,2015-03-19,709,709,5191,PURCHASE,,1253.02,,,,,,False,False
111113489,111113489,15000.0,13432.8,2016-01-07T04:38:57,314.18,AMC #724446,US,US,09,01,entertainment,True,04/2028,2015-03-19,2015-03-19,709,709,5191,REVERSAL,,1567.2,,,,,,False,False
111113489,111113489,15000.0,13746.98,2016-01-07T11:31:19,138.59,Regal Cinemas #276341,US,US,05,01,entertainment,True,09/2031,2015-03-19,2015-03-19,709,709,5191,PURCHASE,,1253.02,,,,,,False,False
111113489,111113489,15000.0,13608.39,2016-01-08T23:37:15,38.13,EZ Putt Putt #551896,US,US,09,01,entertainment,True,09/2024,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,1391.61,,,,,,False,False
111113489,111113489,15000.0,13570.26,2016-01-10T21:25:46,235.43,AMC #692956,US,US,05,01,entertainment,True,12/2024,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,1429.74,,,,,,False,False
111113489,111113489,15000.0,13334.83,2016-01-12T02:30:40,61.45,AMC #145832,US,US,02,01,entertainment,True,08/2021,2015-03-19,2015-03-19,104,104,8824,PURCHASE,,1665.17,,,,,,False,False
111113489,111113489,15000.0,13273.38,2016-01-12T03:13:51,110.12,EZ Putt Putt #503815,US,US,09,01,entertainment,True,01/2021,2015-03-19,2016-01-12,709,709,5191,PURCHASE,,1726.62,,,,,,False,False
111113489,111113489,15000.0,13163.26,2016-01-12T19:45:51,22.6,AMC #74121,US,US,05,01,entertainment,True,05/2023,2015-03-19,2016-01-12,709,709,5191,PURCHASE,,1836.74,,,,,,False,False
111113489,111113489,15000.0,13140.66,2016-01-13T06:48:05,428.45,EZ Putt Putt #240241,US,US,09,01,entertainment,True,06/2025,2015-03-19,2016-01-12,104,104,8824,PURCHASE,,1859.34,,,,,,False,False
111113489,111113489,15000.0,12712.21,2016-01-16T05:06:55,188.12,AMC #128743,US,US,02,08,entertainment,True,08/2024,2015-03-19,2016-01-12,104,104,8824,PURCHASE,,2287.79,,,,,,False,False
111113489,111113489,15000.0,12524.09,2016-01-16T08:47:41,209.13,AMC #724446,US,US,02,08,entertainment,True,03/2021,2015-03-19,2016-01-12,104,104,8824,PURCHASE,,2475.91,,,,,,False,False
111113489,111113489,15000.0,12314.96,2016-01-16T12:29:17,176.29,EZ Putt Putt #40513,US,US,09,08,entertainment,True,01/2030,2015-03-19,2016-01-12,104,104,8824,PURCHASE,,2685.04,,,,,,False,False
