accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,transactionType,isFraud
158904080,158904080,7500.0,7500.0,2016-01-02T21:42:05,220.75,Minneapolis News,US,US,05,08,subscriptions,04/2020,2015-05-25,2015-05-25,235,235,368,,0.0,,,,False,,,False,,False
158904080,158904080,7500.0,7279.25,2016-01-03T01:47:25,81.48,Ray's Fries #312615,US,US,09,01,food,02/2024,2015-05-25,2015-05-25,235,235,368,,220.75,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7197.77,2016-01-05T10:26:20,161.65,South Steakhouse #157238,US,US,09,01,food,08/2028,2015-05-25,2015-05-25,235,235,368,,302.23,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7036.12,2016-01-05T16:37:20,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,463.88,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7032.35,2016-01-28T03:44:37,82.15,Best Deli #100511,US,US,09,01,food,05/2020,2015-05-25,2015-05-25,235,235,368,,467.65,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6950.2,2016-01-29T14:11:51,54.73,1st Sandwitch Bar #119707,US,US,09,01,food,08/2025,2015-05-25,2015-05-25,235,235,368,,549.8,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6895.47,2016-01-29T16:50:11,18.22,Franks Pub #86033,US,US,02,01,food,09/2031,2015-05-25,2015-05-25,235,235,368,,604.53,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-02-01T22:37:57,242.05,South Steakhouse #378389,US,US,09,01,food,01/2020,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7257.95,2016-02-04T16:33:04,475.87,34th BBQ #166379,US,US,09,01,food,04/2022,2015-05-25,2015-05-25,235,235,368,,242.05,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6782.08,2016-02-05T16:00:15,468.44,South Steakhouse #796913,US,US,05,08,food,09/2020,2015-05-25,2015-05-25,235,235,368,,717.92,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6313.64,2016-02-06T02:37:40,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,1186.36,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,6309.87,2016-02-06T21:01:49,429.17,1st Sandwitch Bar #119707,US,US,02,01,food,03/2027,2015-05-25,2015-05-25,235,235,368,,1190.13,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,5880.7,2016-02-07T12:47:07,0.0,Franks Pub #86033,US,US,02,01,food,02/2032,2015-05-25,2015-05-25,235,235,368,,1619.3,,,,False,,,False,ADDRESS_VERIFICATION,False
