accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,merchantCountryCode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
169845844,169845844,500.0,500.0,2016-01-18T07:32:38,7.12,Apple iTunes,05,01,mobileapps,06/2027,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,0.0,,,,,,False,,,False,False
169845844,169845844,500.0,492.88,2016-01-28T22:36:30,35.17,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,7.12,,,,US,US,True,,,False,False
169845844,169845844,500.0,500.0,2016-02-11T04:18:49,29.36,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,0.0,,,,US,US,True,,,False,False
169845844,169845844,500.0,470.64,2016-02-18T09:27:53,7.12,Apple iTunes,05,01,mobileapps,06/2027,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,29.36,,,,,,False,,,False,False
169845844,169845844,500.0,463.52,2016-02-25T20:45:36,33.83,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,36.48,,,,US,US,True,,,False,False
169845844,169845844,500.0,500.0,2016-03-10T17:14:43,29.62,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,0.0,,,,US,US,True,,,False,False
169845844,169845844,500.0,470.38,2016-03-20T18:34:22,7.12,Apple iTunes,05,01,mobileapps,06/2027,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,29.62,,,,,,False,,,False,False
169845844,169845844,500.0,463.26,2016-03-24T23:08:19,29.29,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,36.74,,,,US,US,True,,,False,False
169845844,169845844,500.0,500.0,2016-04-08T08:40:23,30.39,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,0.0,,,,US,US,True,,,False,False
169845844,169845844,500.0,469.61,2016-04-20T13:15:42,7.12,Apple iTunes,05,01,mobileapps,06/2027,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,30.39,,,,,,False,,,False,False
169845844,169845844,500.0,462.49,2016-04-22T23:50:09,393.48,amazon.com,02,01,online_retail,07/2027,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,37.51,,,,US,US,False,,,False,False
169845844,169845844,500.0,69.01,2016-04-23T01:03:56,29.36,Mobil Gas #851671,09,01,fuel,10/2031,2012-08-16,2012-08-16,703,703,3297,PURCHASE,,430.99,,,,US,US,True,,,False,False
