accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
199907256,199907256,250.0,250.0,2016-01-01T04:07:13,23.7,AMC #724446,US,US,01,entertainment,True,05/2026,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,0.0,,,,,,,False,False
199907256,199907256,250.0,226.3,2016-01-02T22:59:24,91.05,Regal Cinemas #05791,US,US,01,entertainment,True,07/2031,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,23.7,,,,09,,,False,False
199907256,199907256,250.0,135.25,2016-01-02T23:15:17,23.19,Five Guys #582541,US,US,01,fastfood,True,01/2027,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,114.75,,,,05,,,False,False
199907256,199907256,250.0,112.06,2016-01-04T00:21:57,188.1,EZ Putt Putt #804489,US,US,01,entertainment,True,11/2026,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,137.94,,,,09,,,False,False
199907256,199907256,250.0,128.76,2016-01-04T14:38:24,228.04,EZ Putt Putt #804489,US,US,01,entertainment,True,02/2033,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,121.24,,,,05,,,False,False
199907256,199907256,250.0,94.33,2016-01-07T05:24:02,65.5,EZ Putt Putt #551896,US,US,08,entertainment,True,09/2030,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,155.67,,,,05,,,False,False
199907256,199907256,250.0,28.83,2016-01-09T17:17:29,74.15,EZ Putt Putt #69446,US,US,01,entertainment,True,06/2020,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,221.17,,,,02,,,False,False
199907256,199907256,250.0,250.0,2016-01-11T00:18:57,174.12,AMC #706324,US,US,08,entertainment,True,12/2022,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,0.0,,,,05,,,False,False
199907256,199907256,250.0,75.88,2016-01-11T08:26:29,197.48,Regal Cinemas #276341,US,US,01,entertainment,True,03/2033,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,174.12,,,,05,,,False,False
199907256,199907256,250.0,13.46,2016-01-14T17:16:16,201.68,Wendys #933486,US,US,08,fastfood,True,01/2024,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,236.54,,,,09,,,False,False
199907256,199907256,250.0,250.0,2016-01-15T02:08:07,94.62,AMC #145832,US,US,01,entertainment,True,11/2023,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,0.0,,,,02,,,False,False
199907256,199907256,250.0,155.38,2016-01-15T02:18:47,57.3,AMC #74121,US,US,08,entertainment,True,01/2030,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,94.62,,,,09,,,False,False
199907256,199907256,250.0,98.08,2016-01-19T04:43:05,8.25,sears.com,US,US,01,online_retail,False,04/2032,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,151.92,,,,05,,,False,False
199907256,199907256,250.0,89.83,2016-01-21T20:32:59,21.11,Icelandic Airlines,US,US,01,airline,False,09/2032,2014-07-09,2014-07-09,122,122,6569,PURCHASE,,160.17,,,,02,,,False,False
