accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,merchantName,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,transactionAmount,merchantCity,merchantState,merchantZip,acqCountry,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
314501807,314501807,15000.0,15000.0,2016-01-02T02:22:03,Popeyes #395866,US,02,01,fastfood,02/2032,2013-10-26,2013-10-26,278,278,5382,ADDRESS_VERIFICATION,,0.0,0.0,,,,,False,,,False,False
314501807,314501807,15000.0,15000.0,2016-01-14T08:42:11,ebay.com,US,09,01,online_retail,06/2031,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,275.48,,,,US,False,,,False,False
314501807,314501807,15000.0,15000.0,2016-02-01T19:54:36,apple.com,US,02,01,online_retail,01/2025,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,30.23,,,,US,False,,,False,True
314501807,314501807,15000.0,14969.77,2016-02-01T19:56:56,apple.com,US,02,01,online_retail,01/2025,2013-10-26,2013-10-26,278,278,5382,REVERSAL,,30.23,30.23,,,,US,False,,,False,True
314501807,314501807,15000.0,15000.0,2016-02-07T17:05:02,staples.com,US,05,01,online_retail,10/2024,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,356.01,,,,US,False,,,False,False
314501807,314501807,15000.0,14643.99,2016-02-07T22:09:35,gap.com,US,02,08,online_retail,11/2029,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,356.01,72.15,,,,US,False,,,False,False
314501807,314501807,15000.0,14571.84,2016-02-10T12:30:47,Wendys #106537,US,05,01,fastfood,11/2023,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,428.16,66.65,,,,,True,,,False,False
314501807,314501807,15000.0,14505.19,2016-02-11T01:16:31,34th BBQ #207369,US,05,01,food,05/2024,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,494.81,986.94,,,,US,True,,,False,False
314501807,314501807,15000.0,13518.25,2016-02-11T22:24:34,Quizno's #928435,US,02,01,fastfood,03/2032,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,1481.75,74.78,,,,US,True,,,False,False
314501807,314501807,15000.0,13443.47,2016-02-27T06:24:30,Popeyes #540652,US,02,08,fastfood,05/2031,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,1556.53,113.81,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-03-22T17:12:34,gap.com,US,05,01,online_retail,11/2021,2013-10-26,2013-10-26,278,278,5382,ADDRESS_VERIFICATION,,0.0,0.0,,,,US,False,,,False,False
314501807,314501807,15000.0,15000.0,2016-03-28T09:25:19,Ray's Fries #153092,US,02,01,food,03/2027,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,49.14,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-04-22T09:18:57,South Steakhouse #335249,US,02,08,food,05/2024,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,486.07,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-05-07T14:39:28,walmart.com,US,09,01,online_retail,05/2033,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,149.14,,,,US,False,,,False,True
314501807,314501807,15000.0,14850.86,2016-05-09T08:24:20,Subway #817052,US,09,01,fastfood,01/2032,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,149.14,125.52,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-06-23T02:31:23,South Steakhouse #378389,US,02,08,food,07/2026,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,25.31,,,,US,True,,,False,False
314501807,314501807,15000.0,14974.69,2016-06-30T18:35:53,Ray's Fries #153092,US,90,01,food,06/2024,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,25.31,168.61,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-07-07T05:32:37,Boston Fries,US,02,01,food,02/2033,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,175.02,,,,US,True,,,False,False
314501807,314501807,15000.0,14824.98,2016-07-15T22:04:53,apple.com,US,09,01,online_retail,10/2031,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,175.02,8.21,,,,US,False,,,False,False
314501807,314501807,15000.0,14816.77,2016-07-21T12:48:30,Wendys #283022,US,05,08,fastfood,05/2032,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,183.23,43.52,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-08-03T19:36:13,target.com,US,05,01,online_retail,10/2021,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,159.7,,,,US,False,,,False,False
314501807,314501807,15000.0,14840.3,2016-08-14T11:27:01,Wendys #857118,US,09,01,fastfood,05/2032,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,159.7,28.51,,,,US,True,,,False,False
314501807,314501807,15000.0,15000.0,2016-09-01T17:23:51,South Steakhouse #796913,US,09,01,food,07/2030,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,0.0,20.57,,,,US,True,,,False,False
314501807,314501807,15000.0,14979.43,2016-09-03T22:43:38,discount.com,US,02,01,online_retail,05/2030,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,20.57,263.42,,,,US,False,,,False,False
314501807,314501807,15000.0,14716.01,2016-09-06T08:00:02,target.com,US,80,01,online_retail,04/2024,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,283.99,92.61,,,,US,False,,,False,False
314501807,314501807,15000.0,14623.4,2016-09-07T06:45:02,cheapfast.com,US,05,01,online_retail,01/2029,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,376.6,406.59,,,,US,False,,,False,False
314501807,314501807,15000.0,14216.81,2016-09-14T03:05:55,Franks Cafe,US,,01,food,11/2024,2013-10-26,2013-10-26,278,278,5382,PURCHASE,,783.19,235.16,,,,US,True,,,False,False
314501807,314501807,15000.0,13981.65,2016-09-26T00:50:10,AMC #128743,US,05,01,entertainment,04/2028,2013-10-26,2013-10-26,278,208,5382,PURCHASE,,1018.35,98.3,,,,US,True,,,False,False
