accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posConditionCode,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
343778742,343778742,5000.0,5000.0,2016-01-01T02:22:46,87.87,Auntie Anne's #306985,US,US,02,fastfood,True,11/2021,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,0.0,,,,,,,False,False
343778742,343778742,5000.0,4912.13,2016-01-01T14:04:57,21.88,Hardee's #855967,US,US,05,fastfood,True,09/2030,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,87.87,,,,01,,,False,False
343778742,343778742,5000.0,4890.25,2016-01-02T06:16:42,31.43,Popeyes #327472,US,US,09,fastfood,True,10/2030,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,109.75,,,,01,,,False,False
343778742,343778742,5000.0,4858.82,2016-01-02T22:37:21,254.65,Quizno's #682482,US,US,09,fastfood,True,04/2021,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,141.18,,,,01,,,False,False
343778742,343778742,5000.0,4604.17,2016-01-03T13:34:05,21.65,In-N-Out #969690,CAN,CAN,05,fastfood,True,07/2030,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,395.83,,,,01,,,False,False
343778742,343778742,5000.0,4582.52,2016-01-05T17:44:47,164.46,McDonalds #768518,US,US,05,fastfood,True,06/2024,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,417.48,,,,01,,,False,False
343778742,343778742,5000.0,4418.06,2016-01-06T10:55:23,127.71,Dunkin' Donuts #972036,US,US,05,fastfood,True,05/2029,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,581.94,,,,01,,,False,False
343778742,343778742,5000.0,4290.35,2016-01-07T15:54:16,136.29,Shake Shack #814409,US,US,09,fastfood,True,10/2032,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,709.65,,,,01,,,False,False
343778742,343778742,5000.0,4154.06,2016-01-07T20:02:09,49.3,Burger King #517920,US,US,05,fastfood,True,08/2031,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,845.94,,,,08,,,False,False
343778742,343778742,5000.0,4104.76,2016-01-09T06:26:25,0.0,Wendys #596109,US,US,05,fastfood,False,05/2020,2014-04-25,2014-04-25,723,723,1572,ADDRESS_VERIFICATION,,895.24,,,,01,,,False,False
343778742,343778742,5000.0,4104.76,2016-01-09T16:20:25,3.73,Domino's Pizza #412367,US,US,09,fastfood,False,09/2022,2014-04-25,2014-04-25,723,723,1572,PURCHASE,,895.24,,,,08,,,False,False
