accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,acqCountry,merchantCountryCode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
443075153,443075153,5000.0,5000.0,2016-01-20T16:19:43,565.02,sears.com,09,01,online_retail,06/2028,2014-05-01,2014-05-01,820,820,6368,PURCHASE,True,,0.0,,,,,,False,,,False
443075153,443075153,5000.0,4434.98,2016-01-23T16:34:26,81.74,Uber,05,01,rideshare,03/2021,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,565.02,,,,US,US,False,,,False
443075153,443075153,5000.0,4378.24,2016-02-03T23:13:05,50.86,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,621.76,,,,US,US,True,,,False
443075153,443075153,5000.0,4327.38,2016-02-15T05:23:33,565.02,sears.com,09,01,online_retail,06/2028,2014-05-01,2014-05-01,820,820,6368,REVERSAL,True,,672.62,,,,,,False,,,False
443075153,443075153,5000.0,4892.4,2016-02-17T06:11:40,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,107.6,,,,US,US,True,,,False
443075153,443075153,5000.0,4852.12,2016-02-24T04:17:16,12.41,amazon.com,80,08,online_retail,04/2024,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,147.88,,,,US,US,False,,,False
443075153,443075153,5000.0,4839.71,2016-02-25T12:11:38,43.88,amazon.com,05,01,online_retail,10/2021,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,160.29,,,,US,US,False,,,False
443075153,443075153,5000.0,4795.83,2016-02-28T02:15:22,244.55,target.com,05,08,online_retail,03/2028,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,204.17,,,,US,US,False,,,False
443075153,443075153,5000.0,4576.28,2016-03-03T01:04:54,47.63,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,423.72,,,,US,US,True,,,False
443075153,443075153,5000.0,4528.65,2016-03-06T21:21:03,239.03,oldnavy.com,09,01,online_retail,02/2023,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,471.35,,,,US,US,False,,,False
443075153,443075153,5000.0,4289.62,2016-03-07T05:46:59,315.72,target.com,02,01,online_retail,05/2023,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,710.38,,,,US,US,False,,,False
443075153,443075153,5000.0,3973.9,2016-03-08T08:01:04,77.96,Uber,09,08,rideshare,03/2028,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,1026.1,,,,US,US,False,,,False
443075153,443075153,5000.0,3895.94,2016-03-16T13:29:45,42.05,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1104.06,,,,US,US,True,,,False
443075153,443075153,5000.0,3853.89,2016-03-20T14:33:27,42.19,Lyft,05,08,rideshare,09/2021,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,1146.11,,,,US,US,False,,,False
443075153,443075153,5000.0,3811.7,2016-03-28T18:37:05,522.63,Uber,05,01,rideshare,12/2022,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1188.3,,,,US,US,False,,,False
443075153,443075153,5000.0,3289.07,2016-03-29T23:23:00,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1710.93,,,,US,US,True,,,False
443075153,443075153,5000.0,3273.79,2016-04-13T17:22:11,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1726.21,,,,US,US,True,,,False
443075153,443075153,5000.0,3233.51,2016-04-18T17:44:31,57.82,oldnavy.com,09,01,online_retail,12/2025,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,1766.49,,,,US,US,False,,,False
443075153,443075153,5000.0,3175.69,2016-04-28T16:32:13,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1824.31,,,,US,US,True,,,False
443075153,443075153,5000.0,3160.41,2016-05-11T18:07:45,45.24,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1839.59,,,,US,US,True,,,False
443075153,443075153,5000.0,3115.17,2016-05-14T04:34:09,163.86,Uber,05,01,rideshare,01/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,1884.83,,,,US,US,False,,,False
443075153,443075153,5000.0,2951.31,2016-05-14T04:36:51,163.86,Uber,05,01,rideshare,01/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2048.69,,,,US,US,False,,,False
443075153,443075153,5000.0,2787.45,2016-05-24T03:37:47,244.69,discount.com,05,01,online_retail,02/2023,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,2212.55,,,,US,US,False,,,False
443075153,443075153,5000.0,2542.76,2016-05-25T06:41:01,39.26,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2457.24,,,,US,US,True,,,False
443075153,443075153,5000.0,2528.5,2016-06-04T01:41:01,157.87,apple.com,05,01,online_retail,12/2030,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2471.5,,,,US,US,False,,,False
443075153,443075153,5000.0,2370.63,2016-06-05T04:25:05,37.72,Uber,09,01,rideshare,05/2028,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,2629.37,,,,US,US,False,,,False
443075153,443075153,5000.0,2332.91,2016-06-07T14:27:20,41.2,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2667.09,,,,US,US,True,,,False
443075153,443075153,5000.0,2291.71,2016-06-10T12:23:11,74.66,Uber,05,01,rideshare,05/2029,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2708.29,,,,US,US,False,,,False
443075153,443075153,5000.0,2217.05,2016-06-11T06:23:20,153.45,Lyft,05,08,rideshare,03/2030,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2782.95,,,,US,US,False,,,False
443075153,443075153,5000.0,2063.6,2016-06-17T00:06:53,216.76,Uber,09,01,rideshare,09/2027,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,2936.4,,,,US,US,False,,,False
443075153,443075153,5000.0,1846.84,2016-06-21T19:49:23,47.56,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3153.16,,,,US,US,True,,,False
443075153,443075153,5000.0,1824.28,2016-07-05T03:55:14,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3175.72,,,,US,US,True,,,False
443075153,443075153,5000.0,1784.0,2016-07-17T04:15:40,281.34,Lyft,02,01,rideshare,08/2022,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3216.0,,,,US,US,False,,,False
443075153,443075153,5000.0,1502.66,2016-07-19T11:04:37,43.83,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3497.34,,,,US,US,True,,,False
443075153,443075153,5000.0,1458.83,2016-07-23T00:13:19,108.68,amazon.com,02,01,online_retail,08/2030,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3541.17,,,,US,US,False,,,False
443075153,443075153,5000.0,1350.15,2016-07-23T16:30:18,359.15,target.com,09,01,online_retail,02/2028,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,3649.85,,,,US,US,False,,,False
443075153,443075153,5000.0,991.0,2016-07-30T09:10:47,268.82,Uber,05,01,rideshare,11/2023,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,4009.0,,,,US,US,False,,,False
443075153,443075153,5000.0,747.18,2016-08-02T09:13:25,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4252.82,,,,US,US,True,,,False
443075153,443075153,5000.0,706.9,2016-08-04T12:32:37,184.59,cheapfast.com,05,01,online_retail,03/2025,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4293.1,,,,US,US,False,,,False
443075153,443075153,5000.0,522.31,2016-08-15T15:45:14,45.73,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4477.69,,,,US,US,True,,,False
443075153,443075153,5000.0,476.58,2016-08-20T15:38:40,600.07,amazon.com,05,08,online_retail,03/2029,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4523.42,,,,US,US,False,,,False
443075153,443075153,5000.0,1196.63,2016-08-21T04:02:28,77.83,Lyft,05,08,rideshare,04/2028,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,3803.37,,,,US,US,False,,,False
443075153,443075153,5000.0,1118.8,2016-08-23T05:50:13,172.96,Lyft,09,01,rideshare,03/2030,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3881.2,,,,US,US,False,,,False
443075153,443075153,5000.0,945.84,2016-08-23T12:03:23,132.45,Lyft,02,01,rideshare,07/2030,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4054.16,,,,US,US,False,,,False
443075153,443075153,5000.0,813.39,2016-08-30T07:46:31,50.33,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4186.61,,,,US,US,True,,,False
443075153,443075153,5000.0,788.06,2016-09-02T08:43:09,285.55,Uber,05,01,rideshare,12/2027,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4211.94,,,,US,US,False,,,False
443075153,443075153,5000.0,502.51,2016-09-14T01:51:52,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4497.49,,,,US,US,True,,,False
443075153,443075153,5000.0,462.23,2016-09-27T16:18:26,45.39,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4537.77,,,,US,US,True,,,False
443075153,443075153,5000.0,441.84,2016-10-12T07:10:59,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4558.16,,,,US,US,True,,,False
443075153,443075153,5000.0,401.56,2016-10-26T03:17:22,40.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,4598.44,,,,US,US,True,,,False
443075153,443075153,5000.0,386.28,2016-11-05T22:50:51,255.82,staples.com,09,01,online_retail,10/2021,2014-05-01,2014-05-01,542,542,1732,PURCHASE,False,,4613.72,,,,US,US,False,,,False
443075153,443075153,5000.0,2071.37,2016-11-06T08:25:16,46.93,Uber,05,01,rideshare,05/2030,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2928.63,,,,US,US,False,,,False
443075153,443075153,5000.0,2024.44,2016-11-10T02:53:57,40.14,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,2975.56,,,,US,US,True,,,False
443075153,443075153,5000.0,1984.3,2016-11-19T10:26:35,74.21,apple.com,05,08,online_retail,01/2026,2014-05-01,2014-05-01,820,820,6368,PURCHASE,False,,3015.7,,,,US,US,False,,,False
443075153,443075153,5000.0,1910.09,2016-11-19T12:49:49,766.58,amazon.com,02,01,online_retail,01/2031,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,3089.91,,,,US,US,False,,,False
443075153,443075153,5000.0,1143.51,2016-11-20T21:37:04,307.95,Lyft,09,01,rideshare,04/2030,2014-05-01,2016-11-19,542,542,1732,PURCHASE,False,,3856.49,,,,US,US,False,,,False
443075153,443075153,5000.0,835.56,2016-11-23T20:01:50,41.92,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,4164.44,,,,US,US,True,,,False
443075153,443075153,5000.0,793.64,2016-11-28T20:16:36,62.23,alibaba.com,02,01,online_retail,04/2026,2014-05-01,2016-11-19,542,542,1732,PURCHASE,False,,4206.36,,,,US,US,False,,,False
443075153,443075153,5000.0,756.41,2016-12-02T22:14:48,63.56,Uber,09,08,rideshare,01/2031,2014-05-01,2016-11-19,542,542,1732,PURCHASE,False,,4243.59,,,,US,US,False,,,False
443075153,443075153,5000.0,692.85,2016-12-03T06:04:16,750.78,amazon.com,09,01,online_retail,01/2029,2014-05-01,2016-11-19,542,542,1732,PURCHASE,False,,4307.15,,,,US,US,False,,,False
443075153,443075153,5000.0,2118.03,2016-12-07T02:00:42,221.63,staples.com,09,01,online_retail,03/2028,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,2881.97,,,,PR,PR,False,,,False
443075153,443075153,5000.0,1896.4,2016-12-07T11:08:05,46.83,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,3103.6,,,,US,US,True,,,False
443075153,443075153,5000.0,1849.57,2016-12-09T06:10:56,232.99,Lyft,05,01,rideshare,06/2031,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,3150.43,,,,US,US,False,,,False
443075153,443075153,5000.0,1616.58,2016-12-13T10:47:41,90.17,Lyft,05,01,rideshare,07/2020,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,3383.42,,,,US,US,False,,,False
443075153,443075153,5000.0,1526.41,2016-12-16T11:03:00,148.98,staples.com,02,01,online_retail,05/2029,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,3473.59,,,,US,US,False,,,False
443075153,443075153,5000.0,1377.43,2016-12-17T10:03:05,399.13,alibaba.com,05,08,online_retail,07/2026,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,3622.57,,,,US,US,False,,,False
443075153,443075153,5000.0,978.3,2016-12-21T00:50:02,48.28,Texas Gas #908639,05,99,fuel,09/2020,2014-05-01,2016-11-19,820,820,6368,PURCHASE,False,,4021.7,,,,US,US,True,,,False
443075153,443075153,5000.0,930.02,2016-12-26T00:57:03,119.78,Uber,02,01,rideshare,01/2025,2014-05-01,2016-11-19,542,542,1732,PURCHASE,False,,4069.98,,,,US,US,False,,,False
443075153,443075153,5000.0,810.24,2016-12-30T18:22:16,121.28,EZ Putt Putt #551896,09,01,entertainment,07/2027,2014-05-01,2016-11-19,542,542,1732,PURCHASE,False,,4189.76,,,,US,US,True,,,False
