accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posEntryMode,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud
479833805,479833805,1000.0,1000.0,2016-01-01T06:19:13,105.12,gap.com,US,US,01,online_retail,10/2025,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,0.0,,,,,False,,,False,False
479833805,479833805,1000.0,894.88,2016-01-15T05:30:03,178.36,sears.com,US,US,01,online_retail,12/2029,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,105.12,,,,09,False,,,False,False
479833805,479833805,1000.0,716.52,2016-01-17T07:03:44,21.0,Planet Fitness #234978,US,US,08,health,11/2029,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,283.48,,,,05,False,,,False,False
479833805,479833805,1000.0,695.52,2016-01-17T22:04:32,72.3,apple.com,US,US,01,online_retail,08/2031,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,304.48,,,,09,False,,,False,False
479833805,479833805,1000.0,623.22,2016-01-21T03:23:08,385.99,WSC #392958,US,US,01,health,04/2026,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,376.78,,,,05,True,,,False,False
479833805,479833805,1000.0,237.23,2016-01-24T08:02:17,105.12,gap.com,US,US,01,online_retail,10/2025,2014-08-27,2014-08-27,673,673,5532,REVERSAL,,762.77,,,,,False,,,False,False
479833805,479833805,1000.0,367.35,2016-02-01T17:16:45,115.06,ebay.com,US,US,08,online_retail,10/2020,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,632.65,,,,05,False,,,False,False
479833805,479833805,1000.0,252.29,2016-02-03T21:15:58,87.29,McDonalds #892016,US,US,01,fastfood,06/2023,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,747.71,,,,09,True,,,False,False
479833805,479833805,1000.0,165.0,2016-02-04T14:10:47,65.68,apple.com,US,US,01,online_retail,05/2027,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,835.0,,,,09,False,,,False,False
479833805,479833805,1000.0,99.32,2016-02-15T01:35:47,504.17,target.com,US,US,01,online_retail,02/2030,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,900.68,,,,05,False,,,False,False
479833805,479833805,1000.0,1000.0,2016-02-18T20:31:39,0.96,Subway #671015,US,US,01,fastfood,12/2022,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,0.0,,,,05,True,,,False,False
479833805,479833805,1000.0,999.04,2016-02-19T18:53:02,54.26,WSC #227241,US,US,08,health,09/2031,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,0.96,,,,05,True,,,False,False
479833805,479833805,1000.0,944.78,2016-02-20T05:12:51,94.14,Golds Gym #329410,US,US,01,health,04/2024,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,55.22,,,,02,True,,,False,False
479833805,479833805,1000.0,850.64,2016-02-21T23:45:52,223.54,Dairy Queen #317459,US,US,01,fastfood,05/2033,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,149.36,,,,02,True,,,False,False
479833805,479833805,1000.0,627.1,2016-02-22T13:07:40,283.79,McDonalds #764333,US,US,01,fastfood,05/2024,2014-08-27,2014-08-27,673,673,5532,PURCHASE,,372.9,,,,09,True,,,False,False
479833805,479833805,1000.0,343.31,2016-02-25T01:27:19,293.75,Walgreens #707455,US,US,01,health,08/2033,2014-08-27,2014-08-27,277,277,7398,PURCHASE,,656.69,,,,02,False,,,False,False
