accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardPresent,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,expirationDateKeyInMatch,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,posOnPremises,recurringAuthInd,isFraud
563107861,563107861,20000.0,20000.0,2016-01-05T08:56:19,222.08,Ray's Fries #61396,US,US,02,01,food,True,09/2032,2015-06-03,2015-06-03,390,390,7214,True,PURCHASE,,0.0,,,,,,False
563107861,563107861,20000.0,19777.92,2016-01-07T22:37:59,224.33,South Steakhouse #796913,US,US,05,01,food,True,01/2022,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,222.08,,,,,,False
563107861,563107861,20000.0,19553.59,2016-01-09T13:41:42,50.31,Ray's Fries #153092,US,US,02,01,food,True,01/2026,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,446.41,,,,,,False
563107861,563107861,20000.0,19503.28,2016-01-10T01:06:08,227.2,NY Deli,US,US,05,01,food,True,12/2032,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,496.72,,,,,,False
563107861,563107861,20000.0,19276.08,2016-01-11T03:31:56,37.1,1st Sandwitch Bar #396252,US,US,05,99,food,True,09/2026,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,723.92,,,,,,False
563107861,563107861,20000.0,19238.98,2016-01-11T14:52:07,113.71,LES Pizza,US,US,05,01,food,True,04/2028,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,761.02,,,,,,False
563107861,563107861,20000.0,19125.27,2016-01-17T09:29:33,117.99,Franks Deli,US,US,09,01,food,True,06/2026,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,874.73,,,,,,False
563107861,563107861,20000.0,19007.28,2016-01-22T02:56:20,47.86,South Steakhouse #481929,US,US,02,99,food,True,06/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,992.72,,,,,,False
563107861,563107861,20000.0,18959.42,2016-01-22T23:48:36,88.01,Franks Pub #87366,US,US,09,99,food,True,02/2030,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1040.58,,,,,,False
563107861,563107861,20000.0,18871.41,2016-01-26T20:59:51,24.99,South Steakhouse #335249,US,US,02,01,food,True,06/2033,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1128.59,,,,,,False
563107861,563107861,20000.0,18846.42,2016-01-29T14:20:58,50.32,John's Bistro,US,US,09,01,food,True,02/2032,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1153.58,,,,,,False
563107861,563107861,20000.0,18796.1,2016-01-30T22:49:46,0.0,Franks Pub #53336,US,US,02,01,food,False,01/2022,2015-06-03,2015-06-03,390,390,7214,False,ADDRESS_VERIFICATION,,1203.9,,,,,,False
563107861,563107861,20000.0,18796.1,2016-01-31T07:37:01,253.09,John's Cafe,US,US,09,01,food,True,05/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1203.9,,,,,,False
563107861,563107861,20000.0,18543.01,2016-01-31T15:11:01,26.21,South Restaurant,US,US,05,08,food,True,12/2026,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1456.99,,,,,,False
563107861,563107861,20000.0,18541.8,2016-02-05T18:37:30,133.39,Uptown Steakhouse,US,US,09,08,food,True,03/2024,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1458.2,,,,,,False
563107861,563107861,20000.0,18408.41,2016-02-08T10:20:28,310.47,34th BBQ #214431,US,US,02,08,food,True,01/2026,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1591.59,,,,,,False
563107861,563107861,20000.0,18097.94,2016-02-08T21:51:33,23.55,1st Deli,US,US,09,08,food,True,02/2027,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1902.06,,,,,,False
563107861,563107861,20000.0,18074.39,2016-02-10T22:30:55,160.13,South Steakhouse #796913,US,US,09,01,food,True,10/2028,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,1925.61,,,,,,False
563107861,563107861,20000.0,17914.26,2016-02-11T14:38:50,29.7,South Steakhouse #73819,US,US,05,01,food,True,06/2028,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,2085.74,,,,,,False
563107861,563107861,20000.0,17884.56,2016-02-13T23:24:05,74.84,Franks Pub #934222,US,US,09,01,food,True,04/2024,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,2115.44,,,,,,False
563107861,563107861,20000.0,17809.72,2016-02-14T00:03:57,98.02,Ray's Fries #153092,US,US,09,01,food,True,09/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,2190.28,,,,,,False
563107861,563107861,20000.0,17711.7,2016-02-15T03:04:06,18.68,South Steakhouse #485411,US,US,09,01,food,True,11/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,2288.3,,,,,,False
563107861,563107861,20000.0,17693.02,2016-02-17T15:03:12,12.39,1st Restaurant,US,US,09,01,food,True,11/2029,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,2306.98,,,,,,False
563107861,563107861,20000.0,17680.63,2016-02-19T04:46:12,920.49,Uptown BBQ,US,US,02,01,food,True,06/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,2319.37,,,,,,True
563107861,563107861,20000.0,16760.14,2016-02-21T08:15:05,178.1,34th BBQ #493821,US,US,05,01,food,True,02/2024,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,3239.86,,,,,,False
563107861,563107861,20000.0,16582.04,2016-02-23T03:32:25,216.43,Best Pub,US,US,05,01,food,True,04/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,3417.96,,,,,,False
563107861,563107861,20000.0,16365.61,2016-02-24T15:17:43,112.89,Franks Deli,US,US,02,08,food,True,10/2026,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,3634.39,,,,,,False
563107861,563107861,20000.0,16252.72,2016-02-27T16:26:49,325.63,1st Sandwitch Bar #758805,US,US,05,08,food,True,08/2020,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,3747.28,,,,,,False
563107861,563107861,20000.0,15927.09,2016-02-27T19:11:19,135.67,Franks Pub #632075,US,US,05,01,food,True,12/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4072.91,,,,,,False
563107861,563107861,20000.0,15816.42,2016-03-02T00:43:21,211.86,Franks Pub #53336,US,US,05,01,food,True,06/2031,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4183.58,,,,,,False
563107861,563107861,20000.0,15604.56,2016-03-04T00:52:26,279.78,South Sandwitch Bar,US,US,05,01,food,True,07/2031,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4395.44,,,,,,False
563107861,563107861,20000.0,15324.78,2016-03-06T03:35:06,111.36,Downtown Pub,US,US,05,01,food,True,03/2021,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4675.22,,,,,,False
563107861,563107861,20000.0,15213.42,2016-03-06T06:49:23,18.25,Franks Pub #755509,US,US,05,01,food,True,07/2023,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4786.58,,,,,,False
563107861,563107861,20000.0,15195.17,2016-03-10T04:27:59,133.22,34th Bistro,US,US,09,01,food,True,03/2032,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4804.83,,,,,,False
563107861,563107861,20000.0,15061.95,2016-03-12T01:54:31,378.64,Best Bistro #44077,US,US,02,01,food,False,09/2024,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,4938.05,,,,,,False
563107861,563107861,20000.0,14683.31,2016-03-12T04:17:06,69.35,1st Sandwitch Bar #941288,US,US,90,01,food,True,08/2030,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,5316.69,,,,,,False
563107861,563107861,20000.0,14613.96,2016-03-14T22:29:39,2.35,amazon.com,US,US,02,01,online_retail,False,05/2033,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,5386.04,,,,,,False
563107861,563107861,20000.0,14611.61,2016-03-15T15:56:14,441.7,Dinosaur Sandwitch Bar #303701,US,US,05,01,food,True,01/2027,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,5388.39,,,,,,False
563107861,563107861,20000.0,14169.91,2016-03-16T23:23:12,125.89,Franks Pub #960098,US,US,05,01,food,True,03/2022,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,5830.09,,,,,,False
563107861,563107861,20000.0,14044.02,2016-03-17T00:22:33,294.15,Dinosaur Restaurant,US,US,05,01,food,True,12/2025,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,5955.98,,,,,,False
563107861,563107861,20000.0,13749.87,2016-03-20T06:25:27,149.08,cheapfast.com,US,US,02,01,online_retail,False,04/2021,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,6250.13,,,,,,False
563107861,563107861,20000.0,13600.79,2016-03-20T06:28:08,149.08,cheapfast.com,US,US,02,01,online_retail,False,04/2021,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,6399.21,,,,,,False
563107861,563107861,20000.0,13451.71,2016-03-20T16:30:54,364.59,Ray's Fries #745083,US,US,09,01,food,False,11/2028,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,6548.29,,,,,,False
563107861,563107861,20000.0,13087.12,2016-03-24T18:49:54,54.57,South BBQ,US,US,02,01,food,True,03/2027,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,6912.88,,,,,,False
563107861,563107861,20000.0,13032.55,2016-03-26T12:54:31,66.5,Best Fries,US,US,02,01,food,True,06/2030,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,6967.45,,,,,,False
563107861,563107861,20000.0,12991.05,2016-04-01T08:55:50,149.12,South Steakhouse #157238,US,US,05,08,food,True,06/2020,2015-06-03,2015-06-03,390,390,7214,False,PURCHASE,,7008.95,,,,,,False
